shoreline_szn,Species_Richness,FDis,FEve,FRic,FDiv
CORA_AM,12,0.092003959,0.441058,0.301643977,0.98344992
CORA_AS,13,0.168860565,0.545427,0.328809326,0.963977163
CORA_JJ,19,0.689117788,0.377823,0.738299561,0.980713624
CORN_AM,16,0.369094176,0.46371,0.479606832,0.96769506
CORN_AS,13,0.055831278,0.446613,0.299910212,0.865084516
CORN_JJ,22,0.814051396,0.452584,0.718931585,0.940614306
CORR_AM,20,0.551723378,0.434037,0.470875753,0.95985615
CORR_AS,18,0.293424428,0.417839,0.438680118,0.942755396
CORR_JJ,24,0.818364309,0.437661,0.875863143,0.89929117
DOKA_AM,6,0.172708044,0.270687,0.018465008,0.649012341
DOKA_AS,8,0.075153041,0.423097,0.19211122,0.745289825
DOKA_JJ,5,0.155493585,0.17783,0.057106457,0.877518619
DOKN_AM,4,0.874507129,0.958232,0.108636946,0.918514938
DOKN_AS,3,0,0,0,0
DOKN_JJ,7,0.629345217,0.641277,0.067028878,0.85692203
DOKR_AM,7,0.719001892,0.5904,0.131513796,0.825687707
DOKR_AS,4,0.782028491,0.004606,0.010625105,0.999895266
DOKR_JJ,5,0.096213221,0.400648,0.034583425,0.992687024
EDGA_AM,1,0,0,0,0
EDGA_AS,1,0,0,0,0
EDGA_JJ,8,0.276332573,0.476804,0.253426916,0.81802203
EDGN_AM,6,0.118763845,0.346905,0.064295731,0.766009528
EDGN_AS,3,0,0,0,0
EDGN_JJ,6,0.635332553,0.19814,0.037962944,0.949661224
EDGR_AM,4,0.74753575,0.567648,0.012529666,0.743672338
EDGR_AS,5,0.056063234,0.464326,0.039697237,0.688516966
EDGR_JJ,11,0.797675252,0.450842,0.326222118,0.86904627
FAMA_AM,6,0.374635388,0.639429,0.115741348,0.498356908
FAMA_AS,7,0.805759088,0.608064,0.176575376,0.95917527
FAMA_JJ,9,0.463398217,0.416186,0.436798496,0.934015893
FAMN_AM,6,0.388459392,0.573875,0.266482872,0.922888984
FAMN_AS,5,0.56532778,0.243784,0.082025342,0.885168141
FAMN_JJ,10,0.09386653,0.590622,0.502502269,0.566333582
FAMR_AM,4,0.398481686,0.671751,0.017223863,0.778181625
FAMR_AS,9,0.271610336,0.613943,0.323014933,0.902693026
FAMR_JJ,8,0.791333933,0.675148,0.248762008,0.936797469
SHRA_AM,6,0.451622762,0.519784,0.110870204,0.714832163
SHRA_AS,7,0.76524078,0.670899,0.222482353,0.82257411
SHRA_JJ,8,0.730846851,0.366322,0.027899562,0.897906986
SHRN_AM,9,0.720471473,0.516893,0.254580408,0.883391381
SHRN_AS,5,0.392970191,0.54162,0.044329227,0.823421325
SHRN_JJ,13,0.484918897,0.541971,0.365073844,0.983661612
SHRR_AM,6,0.511533002,0.164939,0.212461815,0.998128169
SHRR_AS,6,0.553955773,0.523551,0.126096639,0.835871028
SHRR_JJ,6,0.422325658,0.616871,0.345644823,0.964196977
TURA_AM,6,0.72155779,0.601575,0.121328193,0.731644065
TURA_AS,12,0.112854997,0.375367,0.208677784,0.834403563
TURA_JJ,18,0.499239351,0.468622,0.462838953,0.746453233
TURN_AM,3,0,0,0,0
TURN_AS,5,0.286216328,0.578412,0.058661688,0.976520921
TURN_JJ,8,0.171192938,0.691558,0.178512738,0.988310135
TURN2_AM,5,0.428242995,0.393167,0.004118076,0.73620773
TURN2_AS,6,0.483924125,0.507004,0.064761173,0.8196636
TURN2_JJ,9,0.479155875,0.452774,0.086401402,0.857482974